Trat	Rep	Produtividade
1	1	1011.78
1	2	963.37
1	3	1008.37
2	1	789
2	2	1152.63
2	3	1543.45
3	1	924.61
3	2	1028.73
3	3	981.69
4	1	805.79
4	2	935.72
4	3	1240.87
5	1	1239.28
5	2	657.87
5	3	774.15
6	1	1255.54
6	2	727.06
6	3	1436.15
7	1	1433.14
7	2	1178.86
7	3	850.18
8	1	765.84
8	2	948.07
8	3	789.08
9	1	1315.38
9	2	852.65
9	3	1114.6
10	1	993.16
10	2	891.01
10	3	894.65
11	1	1249.68
11	2	865.33
11	3	1094.64
12	1	1465.45
12	2	1098.42
12	3	1544.07
13	1	1015.69
13	2	1100.93
13	3	1416.54
14	1	1202.15
14	2	975.85
14	3	768.44
15	1	788.79
15	2	1055.31
15	3	904.58
16	1	985.3
16	2	1072.95
16	3	1198.5
17	1	1190.92
17	2	699.47
17	3	437.75
18	1	936.01
18	2	1253.96
18	3	1295.24
19	1	1081.34
19	2	1049.45
19	3	908.28
20	1	838.19
20	2	905.58
20	3	1122.15
