Amb	Trat	Rep	VR
1	1	1	195
1	1	2	196
1	1	3	192
1	1	4	208
1	1	5	180
1	1	6	213
1	2	1	216
1	2	2	194
1	2	3	198
1	2	4	209
1	2	5	238
1	2	6	236
1	3	1	307
1	3	2	341
1	3	3	305
1	3	4	316
1	3	5	335
1	3	6	340
1	4	1	435
1	4	2	403
1	4	3	499
1	4	4	422
1	4	5	487
1	4	6	483
1	5	1	218
1	5	2	192
1	5	3	222
1	5	4	221
1	5	5	218
1	5	6	219
1	6	1	227
1	6	2	422
1	6	3	429
1	6	4	448
1	6	5	463
1	6	6	461
1	7	1	134
1	7	2	178
1	7	3	188
1	7	4	285
1	7	5	294
1	7	6	295
1	8	1	707
1	8	2	803
1	8	3	828
1	8	4	714
1	8	5	848
1	8	6	808
2	1	1	141
2	1	2	153
2	1	3	168
2	1	4	270
2	1	5	146
2	1	6	250
2	2	1	244
2	2	2	134
2	2	3	142
2	2	4	253
2	2	5	261
2	2	6	234
2	3	1	342
2	3	2	359
2	3	3	349
2	3	4	359
2	3	5	369
2	3	6	330
2	4	1	448
2	4	2	465
2	4	3	431
2	4	4	449
2	4	5	459
2	4	6	440
2	5	1	243
2	5	2	163
2	5	3	250
2	5	4	244
2	5	5	210
2	5	6	231
2	6	1	246
2	6	2	440
2	6	3	444
2	6	4	454
2	6	5	462
2	6	6	464
2	7	1	141
2	7	2	154
2	7	3	172
2	7	4	269
2	7	5	249
2	7	6	259
2	8	1	759
2	8	2	840
2	8	3	838
2	8	4	741
2	8	5	845
2	8	6	806
3	1	1	569
3	1	2	460
3	1	3	433
3	1	4	373
3	1	5	480
3	1	6	384
3	2	1	490
3	2	2	191
3	2	3	406
3	2	4	500
3	2	5	424
3	2	6	314
3	3	1	842
3	3	2	703
3	3	3	881
3	3	4	804
3	3	5	912
3	3	6	929
3	4	1	739
3	4	2	749
3	4	3	629
3	4	4	630
3	4	5	848
3	4	6	721
3	5	1	931
3	5	2	849
3	5	3	988
3	5	4	880
3	5	5	893
3	5	6	993
3	6	1	290
3	6	2	204
3	6	3	380
3	6	4	311
3	6	5	215
3	6	6	295
3	7	1	190
3	7	2	109
3	7	3	239
3	7	4	137
3	7	5	200
3	7	6	146
3	8	1	200
3	8	2	218
3	8	3	132
3	8	4	249
3	8	5	235
3	8	6	202
4	1	1	294
4	1	2	324
4	1	3	386
4	1	4	382
4	1	5	319
4	1	6	395
4	2	1	625
4	2	2	620
4	2	3	719
4	2	4	619
4	2	5	627
4	2	6	620
4	3	1	626
4	3	2	540
4	3	3	668
4	3	4	662
4	3	5	639
4	3	6	575
4	4	1	882
4	4	2	984
4	4	3	994
4	4	4	796
4	4	5	802
4	4	6	709
4	5	1	525
4	5	2	515
4	5	3	540
4	5	4	409
4	5	5	589
4	5	6	467
4	6	1	180
4	6	2	256
4	6	3	260
4	6	4	198
4	6	5	292
4	6	6	109
4	7	1	365
4	7	2	372
4	7	3	364
4	7	4	274
4	7	5	396
4	7	6	302
4	8	1	929
4	8	2	783
4	8	3	894
4	8	4	866
4	8	5	772
4	8	6	872
5	1	1	130
5	1	2	394
5	1	3	399
5	1	4	203
5	1	5	387
5	1	6	213
5	2	1	211
5	2	2	396
5	2	3	192
5	2	4	208
5	2	5	234
5	2	6	238
5	3	1	303
5	3	2	442
5	3	3	302
5	3	4	316
5	3	5	332
5	3	6	449
5	4	1	436
5	4	2	608
5	4	3	492
5	4	4	429
5	4	5	487
5	4	6	489
5	5	1	218
5	5	2	393
5	5	3	225
5	5	4	220
5	5	5	214
5	5	6	217
5	6	1	226
5	6	2	424
5	6	3	426
5	6	4	541
5	6	5	462
5	6	6	467
5	7	1	139
5	7	2	279
5	7	3	389
5	7	4	288
5	7	5	296
5	7	6	298
5	8	1	701
5	8	2	801
5	8	3	823
5	8	4	913
5	8	5	849
5	8	6	805
6	1	1	195
6	1	2	390
6	1	3	199
6	1	4	239
6	1	5	217
6	1	6	180
6	2	1	306
6	2	2	380
6	2	3	488
6	2	4	372
6	2	5	309
6	2	6	375
6	3	1	502
6	3	2	534
6	3	3	514
6	3	4	726
6	3	5	682
6	3	6	459
6	4	1	273
6	4	2	324
6	4	3	278
6	4	4	296
6	4	5	302
6	4	6	293
6	5	1	304
6	5	2	315
6	5	3	316
6	5	4	337
6	5	5	291
6	5	6	312
6	6	1	273
6	6	2	355
6	6	3	286
6	6	4	283
6	6	5	331
6	6	6	403
6	7	1	305
6	7	2	296
6	7	3	283
6	7	4	318
6	7	5	309
6	7	6	481
6	8	1	1283
6	8	2	1255
6	8	3	1306
6	8	4	1313
6	8	5	1274
6	8	6	1484
