Rep	Bloco	Trat	Resp
1	1	1	10.2
1	1	2	10.7
1	1	3	10.8
1	1	4	12.7
1	2	5	9.3
1	2	6	6.4
1	2	7	10.5
1	2	8	10.6
1	3	9	9.2
1	3	10	5.2
1	3	11	3.6
1	3	12	10.2
1	4	13	8.3
1	4	14	9.8
1	4	15	6.2
1	4	16	4.9
2	3	15	5.5
2	3	11	5.6
2	3	3	7.3
2	3	7	10
2	1	5	8.3
2	1	1	6.2
2	1	13	7.2
2	1	9	10
2	4	12	5
2	4	4	9.5
2	4	8	11
2	4	16	7.5
2	2	14	10.5
2	2	6	9.5
2	2	10	11.2
2	2	2	10.3
3	1	1	12.9
3	1	11	7.7
3	1	6	7.9
3	1	16	7.7
3	3	8	10.8
3	3	3	10.4
3	3	9	10.6
3	3	14	12.6
3	4	4	7.7
3	4	13	6
3	4	10	5.4
3	4	7	7.6
3	2	2	7.6
3	2	5	12.1
3	2	12	6.5
3	2	15	8.2
4	2	8	11.4
4	2	2	7.7
4	2	11	8.8
4	2	13	7.4
4	1	1	10.5
4	1	12	8.2
4	1	14	11.3
4	1	7	12.5
4	3	10	9.4
4	3	5	10.7
4	3	3	10
4	3	16	12
4	4	15	6.2
4	4	4	7.3
4	4	6	5.9
4	4	9	7.2
5	4	5	9.6
5	4	11	10.3
5	4	14	9.3
5	4	4	6.4
5	3	3	8.3
5	3	12	10
5	3	13	5.1
5	3	6	6.3
5	1	10	7.5
5	1	1	4
5	1	8	9
5	1	15	6.8
5	2	9	10.8
5	2	2	6.7
5	2	7	8.7
5	2	16	4
